epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.7578795227137479,0.5170454545454546,0.5265117433336046,0.7555555555555555
2,0.4408873793753711,0.8181818181818182,0.40985583729214137,0.8666666666666667
3,0.35435992885719647,0.875,0.27107282810741,0.8888888888888888
4,0.2473766885020516,0.9204545454545454,0.24154257045851812,0.9111111111111111
5,0.2423925460739569,0.9034090909090909,0.2265891432762146,0.8888888888888888
6,0.21363800154490906,0.9147727272727273,0.21539946993192036,0.9333333333333333
7,0.22515113584019922,0.9204545454545454,0.2097633977731069,0.9111111111111111
8,0.19536688246510245,0.9261363636363636,0.18635106219185724,0.9555555555555556
9,0.18647608702833002,0.9488636363636364,0.18069877492056952,0.9111111111111111
10,0.18044880642132324,0.9375,0.17478741076257492,0.9111111111111111
11,0.1772415820847858,0.9431818181818182,0.17109849585427178,0.9111111111111111
12,0.17378365858034653,0.9488636363636364,0.16948627101050484,0.9111111111111111
13,0.17349925569512628,0.9545454545454546,0.16495003369119432,0.9111111111111111
14,0.1735990128733895,0.9261363636363636,0.16276776393254597,0.9111111111111111
15,0.17081022330305792,0.9602272727272727,0.16166082753075495,0.9333333333333333
16,0.16575533828952096,0.9318181818181818,0.15702094501919217,0.9333333333333333
17,0.16069090806625105,0.9545454545454546,0.1569981104797787,0.9333333333333333
18,0.1538153968074105,0.9545454545454546,0.15439531008402507,0.9333333333333333
19,0.1565557870675217,0.9431818181818182,0.15426322354210747,0.9555555555555556
20,0.14955269850113176,0.9545454545454546,0.15512276887893678,0.9333333333333333
