epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.3480639396743341,0.875,0.26712050173017715,0.9555555555555556
2,0.25724759909578343,0.9034090909090909,0.2393811994128757,0.8666666666666667
3,0.29746525937860663,0.9147727272727273,0.2255883942047755,0.9111111111111111
4,0.2154042603532699,0.9090909090909091,0.2076404266887241,0.9111111111111111
5,0.22314748893999917,0.9147727272727273,0.20304247389237087,0.9333333333333333
6,0.21839124788741834,0.9318181818181818,0.20332482097049553,0.8888888888888888
7,0.27486713327446277,0.9318181818181818,0.16735916700628067,0.9333333333333333
8,0.20333511477061125,0.9431818181818182,0.26719138423601785,0.9555555555555556
9,0.2021093158499835,0.9318181818181818,0.1444675621887048,0.9555555555555556
10,0.262499960337829,0.9545454545454546,0.2116032067272398,0.8888888888888888
