epoch,training_accuracy,validation_accuracy
1,0.6534090909090909,0.8444444444444444
2,0.8579545454545454,0.9555555555555556
3,0.9204545454545454,0.9555555555555556
4,0.9204545454545454,0.9555555555555556
5,0.9545454545454546,0.9777777777777777
6,0.9602272727272727,0.9777777777777777
7,0.9659090909090909,0.9777777777777777
8,0.9602272727272727,0.9777777777777777
9,0.9715909090909091,0.9777777777777777
10,0.9772727272727273,0.9777777777777777
11,0.9602272727272727,0.9777777777777777
12,0.9715909090909091,0.9777777777777777
13,0.9602272727272727,0.9777777777777777
14,0.9715909090909091,0.9777777777777777
15,0.9659090909090909,0.9777777777777777
16,0.9715909090909091,0.9777777777777777
17,0.9772727272727273,0.9777777777777777
18,0.9772727272727273,0.9777777777777777
19,0.9772727272727273,0.9777777777777777
20,0.9772727272727273,0.9777777777777777
