epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.676373465494676,0.5340909090909091,0.6015862147013347,0.8
2,0.6002360582351685,0.8295454545454546,0.5737016068564521,0.8888888888888888
3,0.5699548667127435,0.8522727272727273,0.5486079454421997,0.8888888888888888
4,0.5433041182431307,0.8977272727272727,0.516904604434967,0.8888888888888888
5,0.5124710608612407,0.9375,0.49347833659913803,0.8888888888888888
6,0.4890890202739022,0.9375,0.46914665831459895,0.8888888888888888
7,0.46540725231170654,0.9488636363636364,0.4502377470334371,0.9111111111111111
8,0.4459075060757724,0.9488636363636364,0.4312077197763655,0.9111111111111111
9,0.42735939676111395,0.9488636363636364,0.4159162759780884,0.9333333333333333
10,0.41150080344893714,0.9488636363636364,0.3993268158700731,0.9111111111111111
11,0.39524305950511585,0.9545454545454546,0.38579250971476237,0.9333333333333333
12,0.3816229592670094,0.9545454545454546,0.37484752469592625,0.9333333333333333
13,0.36969011751088227,0.9488636363636364,0.36316121684180364,0.9333333333333333
14,0.3578360622579401,0.9545454545454546,0.35163982444339326,0.9333333333333333
15,0.34724676609039307,0.9545454545454546,0.3420357002152337,0.9333333333333333
16,0.33726399866017426,0.9545454545454546,0.33362057076560125,0.9333333333333333
17,0.3285103819587014,0.9545454545454546,0.3255780862437354,0.9333333333333333
18,0.3205912858247757,0.9545454545454546,0.31885335312949287,0.9333333333333333
19,0.3128782104362141,0.9488636363636364,0.3109980093108283,0.9333333333333333
20,0.30576408315788617,0.9545454545454546,0.3037768880526225,0.9333333333333333
