epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.2757093141024763,0.8977272727272727,0.31189101404613917,0.8666666666666667
2,0.24073373153805733,0.9090909090909091,0.21643271777364942,0.8888888888888888
3,0.20504639314656908,0.9204545454545454,0.22329183419545492,0.8666666666666667
4,0.2224205726418983,0.8977272727272727,0.17811018029848735,0.9333333333333333
5,0.17718266441740774,0.9318181818181818,0.1653123180071513,0.9555555555555556
6,0.1645596386356787,0.9318181818181818,0.17365915973981222,0.8888888888888888
7,0.15676645705984396,0.9431818181818182,0.14920583764712017,0.9555555555555556
8,0.140962946228683,0.9488636363636364,0.13684270348813798,0.9555555555555556
9,0.13588189587674357,0.9602272727272727,0.14786196748415628,0.9111111111111111
10,0.14724094649268823,0.9488636363636364,0.13191476927863227,0.9333333333333333
