epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.6763735034249045,0.5340909090909091,0.601586389541626,0.8
2,0.6002360907467928,0.8295454545454546,0.5737017181184557,0.8888888888888888
3,0.5699549154801802,0.8522727272727273,0.5486080328623454,0.8888888888888888
4,0.5433041941035878,0.8977272727272727,0.516904698477851,0.8888888888888888
5,0.5124711177565835,0.9375,0.49347850216759576,0.8888888888888888
6,0.489089082587849,0.9375,0.4691467669275072,0.8888888888888888
7,0.46540730649774725,0.9488636363636364,0.45023784902360703,0.9111111111111111
8,0.445907552133907,0.9488636363636364,0.43120782640245225,0.9111111111111111
9,0.42735943469134247,0.9488636363636364,0.41591633756955465,0.9333333333333333
10,0.4115008495070718,0.9488636363636364,0.3993268774615394,0.9111111111111111
11,0.3952430920167403,0.9545454545454546,0.38579258388943144,0.9333333333333333
12,0.3816229755228216,0.9545454545454546,0.3748475816514757,0.9333333333333333
13,0.3696901364759965,0.9488636363636364,0.3631612890296512,0.9333333333333333
14,0.3578360785137523,0.9545454545454546,0.35163988139894276,0.9333333333333333
15,0.3472467986020175,0.9545454545454546,0.34203573995166353,0.9333333333333333
16,0.33726404065435583,0.9545454545454546,0.3336205999056498,0.9333333333333333
17,0.32851040634241974,0.9545454545454546,0.3255781173706055,0.9333333333333333
18,0.3205913142724471,0.9545454545454546,0.31885333326127796,0.9333333333333333
19,0.3128782253373753,0.9488636363636364,0.3109979914294349,0.9333333333333333
20,0.30576409670439636,0.9545454545454546,0.30377685758802625,0.9333333333333333
