epoch,training_accuracy,validation_accuracy
1,0.7159090909090909,0.9333333333333333
2,0.9034090909090909,0.9555555555555556
3,0.8863636363636364,0.9555555555555556
4,0.9431818181818182,0.9555555555555556
5,0.9318181818181818,0.9555555555555556
6,0.9261363636363636,0.9555555555555556
7,0.9431818181818182,0.9555555555555556
8,0.9545454545454546,0.9555555555555556
9,0.9375,0.8
10,0.7613636363636364,0.9111111111111111
11,0.9431818181818182,0.8444444444444444
12,0.9261363636363636,0.9555555555555556
13,0.9545454545454546,0.9555555555555556
14,0.9318181818181818,0.9555555555555556
15,0.9375,0.9555555555555556
16,0.9545454545454546,0.9555555555555556
17,0.9431818181818182,0.9555555555555556
18,0.9431818181818182,0.9555555555555556
19,0.9318181818181818,0.9333333333333333
20,0.9602272727272727,0.9555555555555556
21,0.9545454545454546,0.9555555555555556
22,0.9545454545454546,0.9333333333333333
23,0.9488636363636364,0.9555555555555556
24,0.9204545454545454,0.9555555555555556
25,0.9545454545454546,0.9555555555555556
26,0.9431818181818182,0.9333333333333333
27,0.9431818181818182,0.9555555555555556
28,0.9545454545454546,0.9555555555555556
29,0.9488636363636364,0.9555555555555556
30,0.9488636363636364,0.9555555555555556
