epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.2844582574404988,0.9090909090909091,0.19454302225882808,0.9333333333333333
2,0.2168446384282354,0.9318181818181818,0.15906815831808166,0.9555555555555556
3,0.20216846218185805,0.9375,0.13660999717475433,0.9555555555555556
4,0.13723670519241501,0.9602272727272727,0.12269622097956016,0.9777777777777777
5,0.14345895148190638,0.9659090909090909,0.11192005705929155,0.9777777777777777
6,0.12662581271838877,0.9659090909090909,0.10325876412874398,0.9555555555555556
7,0.10532674358740803,0.9659090909090909,0.11753927380798107,0.9555555555555556
8,0.09812760415837313,0.9715909090909091,0.09519605632942532,0.9777777777777777
9,0.09342602219990939,0.9772727272727273,0.09368130171310945,0.9555555555555556
10,0.08724863413652367,0.9602272727272727,0.08932859925413747,0.9777777777777777
