epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.31365749082893174,0.8920454545454546,0.18502125187951607,0.9333333333333333
2,0.1900589619199632,0.9318181818181818,0.21761254419977075,0.9555555555555556
3,0.26577632527445744,0.9375,0.20402011709652976,0.9555555555555556
4,0.2496536998407202,0.9602272727272727,0.199927781365095,0.9777777777777777
5,0.3217354118310087,0.9488636363636364,0.1852371270091679,0.9777777777777777
6,0.20906663629473635,0.9545454545454546,0.2217209198092631,0.9777777777777777
7,0.2051488756767992,0.9715909090909091,0.21963132836018545,0.9777777777777777
8,0.23207923847799353,0.9602272727272727,0.20253849064632368,0.9777777777777777
9,0.17751089242523338,0.9602272727272727,0.15989266666795285,0.9777777777777777
10,0.261292226838048,0.9602272727272727,0.1753210461649115,0.9777777777777777
