epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.43187235278839414,0.8238636363636364,0.19635287721951802,0.9333333333333333
2,0.2485028034584089,0.9147727272727273,0.15357922315597533,0.9333333333333333
3,0.20204186153767462,0.9261363636363636,0.2914853096008301,0.8444444444444444
4,0.19366731370841575,0.9318181818181818,0.279669042593903,0.8888888888888888
5,0.06693777041933076,0.9886363636363636,0.24527695998549462,0.9555555555555556
6,0.06719602744454857,0.9829545454545454,0.13154198361767663,0.9555555555555556
7,0.00999539922287857,1.0,0.1420638471427891,0.9555555555555556
8,0.001463891353606331,1.0,0.17141107134521008,0.9555555555555556
9,0.0006734968337696046,1.0,0.1808062962566813,0.9555555555555556
10,0.0005019441384568133,1.0,0.18709835292150576,0.9555555555555556
11,0.00040725897137731823,1.0,0.19258458700238001,0.9555555555555556
12,0.0003417217184588398,1.0,0.19603872463727992,0.9555555555555556
13,0.00029559419172900647,1.0,0.2011105812827332,0.9555555555555556
14,0.0002547614600519988,1.0,0.20376381826483542,0.9555555555555556
15,0.00022478592257936145,1.0,0.20708363635672464,0.9555555555555556
16,0.00020026655461565085,1.0,0.20959113847153882,0.9555555555555556
17,0.00018156218390107494,1.0,0.2122865348071274,0.9555555555555556
18,0.00016407435363031584,1.0,0.21507621077924138,0.9555555555555556
19,0.00015077569365861234,1.0,0.21818866704124956,0.9555555555555556
20,0.00013735711135351184,1.0,0.22005026038063483,0.9555555555555556
